"Scenario","Test","n","Replications","Power"
"Interact_Slight","XIE_GAM",500,10000,0.0671
"Interact_Slight","Farrington_standalone",500,10000,0
"Interact_Slight","IM_efficient",500,9964,0.0724
"Interact_Slight","McCullagh_Test",500,10000,0.1167
"Interact_Slight","leCessie_Test",500,10000,0.0816
"Interact_Slight","hosmer_equal_width",500,7612,0.0763
"Interact_Slight","bagoft_parallel",500,1000,0.057
"Interact_Slight","bagoft_test_NO_SIM_Split_1",500,10000,0.0781
"Interact_Slight","PR_test",500,10000,0.1049
"Interact_Slight","bagoft_test_Split_20",500,10000,2e-04
"Interact_Slight","stute_zhu_test",500,10000,0.0695
"Interact_Slight","Tsiatis_clustering",500,10200,0.0641
"Interact_Slight","hosmer_bootstrap",500,10000,0.0932
"Interact_Slight","eHL_10",500,10000,0.0013
"Interact_Slight","osius_rojek",500,9999,0.3992
"Interact_Slight","s_st_pgeq0_5",500,0,NA
"Interact_Slight","sst_both",500,0,NA
"Interact_Slight","Final_Farrington_G10",500,10200,0.0697
"Interact_Slight","giviti_calib",5000,10000,0.0145
"Interact_Slight","giviti_calib_internal",5000,10000,0.2893
"Interact_Slight","traditional_HL",5000,10000,0.1341
"Interact_Slight","pearson",5000,10000,0
"Interact_Slight","deviance",5000,10000,0
"Interact_Slight","hl_ftest",5000,10000,0.1229
"Interact_Slight","s_st_pl0_5",5000,10000,0.2995
"Interact_Slight","large_s_hl",5000,10000,0.1309
"Interact_Slight","spiegelhalter",5000,10000,0
"Interact_Slight","Copas_unweighted_S",5000,10000,0.3003
"Interact_Slight","pigeonheyse",5000,10000,0.0929
"Interact_Slight","xie",5000,10000,0.1089
"Interact_Slight","eHL",5000,10000,0.0075
"Interact_Slight","U_p",5000,10000,0
"Interact_Slight","HL_GAM",5000,10000,0.1307
"Interact_Slight","PR_GAM",5000,10000,0.4254
"Interact_Slight","XIE_GAM",5000,10000,0.2431
"Interact_Slight","Farrington_standalone",5000,10000,0
"Interact_Slight","IM_efficient",5000,10000,0.3502
"Interact_Slight","McCullagh_Test",5000,1000,0.428
"Interact_Slight","leCessie_Test",5000,1000,0.413
"Interact_Slight","hosmer_equal_width",5000,9586,0.2121
"Interact_Slight","bagoft_parallel",5000,1000,0.054
"Interact_Slight","bagoft_test_NO_SIM_Split_1",5000,10000,0.0598
"Interact_Slight","PR_test",5000,10000,0.4244
"Interact_Slight","bagoft_test_Split_20",5000,10000,0
"Interact_Slight","stute_zhu_test",5000,10000,0.2188
"Interact_Slight","Tsiatis_clustering",5000,10000,0.2256
"Interact_Slight","hosmer_bootstrap",5000,10000,0.1257
"Interact_Slight","eHL_10",5000,10000,0.0155
