"Scenario","Test","n","Replications","Power"
"Uniform_-6_6","traditional_HL",25000,10000,0.048
"Uniform_-6_6","pigeonheyse",25000,10000,0.0309
"Uniform_-6_6","Final_Farrington_G10",25000,10000,0.0668
"Uniform_-6_6","giviti_calib",500,10000,4e-04
"Uniform_-6_6","giviti_calib_internal",500,10000,0.0482
"Uniform_-6_6","traditional_HL",500,10000,0.0514
"Uniform_-6_6","pearson",500,10000,0.1945
"Uniform_-6_6","deviance",500,10000,0
"Uniform_-6_6","hl_ftest",500,10000,0.6199
"Uniform_-6_6","osius_rojek",500,10000,0.043
"Uniform_-6_6","s_st_pgeq0_5",500,10000,0.0458
"Uniform_-6_6","s_st_pl0_5",500,10000,0.0478
"Uniform_-6_6","sst_both",500,10000,0.0641
"Uniform_-6_6","large_s_hl",500,10000,0.0513
"Uniform_-6_6","spiegelhalter",500,10000,0
"Uniform_-6_6","Copas_unweighted_S",500,10000,0.0496
"Uniform_-6_6","pigeonheyse",500,10000,0.0354
"Uniform_-6_6","xie",500,10000,0.0267
"Uniform_-6_6","eHL",500,10000,0.0018
"Uniform_-6_6","U_p",500,10000,0
"Uniform_-6_6","HL_GAM",500,10000,0.0415
"Uniform_-6_6","PR_GAM",500,0,NA
"Uniform_-6_6","XIE_GAM",500,10000,0.0518
"Uniform_-6_6","Farrington_standalone",500,10000,0
"Uniform_-6_6","IM_efficient",500,10000,0.0451
"Uniform_-6_6","McCullagh_Test",500,10000,0.0631
"Uniform_-6_6","leCessie_Test",500,10000,0.0752
"Uniform_-6_6","bagoft_parallel",500,1000,0.059
"Uniform_-6_6","hosmer_equal_width",500,10000,0.0479
"Uniform_-6_6","bagoft_test_NO_SIM_Split_1",500,10000,0.0783
"Uniform_-6_6","PR_test",500,0,NA
"Uniform_-6_6","bagoft_test_Split_20",500,10000,0
"Uniform_-6_6","stute_zhu_test",500,10000,0.0476
"Uniform_-6_6","Tsiatis_clustering",500,10000,0.056
"Uniform_-6_6","hosmer_bootstrap",500,10000,0.1005
"Uniform_-6_6","eHL_10",500,10000,0.0042
"Uniform_-6_6","Final_Farrington_G10",500,10000,0.0606
"Uniform_-6_6","giviti_calib",5000,10000,6e-04
