"Scenario","Test","n","Replications","Power"
"Quad_Slight","U_p",500,10000,0
"Quad_Slight","HL_GAM",500,10000,0.059
"Quad_Slight","PR_GAM",500,0,NA
"Quad_Slight","XIE_GAM",500,10000,0.0757
"Quad_Slight","Farrington_standalone",500,10000,0
"Quad_Slight","IM_efficient",500,10000,0.0727
"Quad_Slight","McCullagh_Test",500,10000,0.1348
"Quad_Slight","leCessie_Test",500,10000,0.091
"Quad_Slight","hosmer_equal_width",500,10200,0.0444
"Quad_Slight","bagoft_test_NO_SIM_Split_1",500,10000,0.0786
"Quad_Slight","PR_test",500,0,NA
"Quad_Slight","bagoft_parallel",500,1000,0.058
"Quad_Slight","bagoft_test_Split_20",500,10000,0
"Quad_Slight","stute_zhu_test",500,10000,0.0655
"Quad_Slight","Tsiatis_clustering",500,10200,0.0707
"Quad_Slight","hosmer_bootstrap",500,10000,0.1232
"Quad_Slight","eHL_10",500,10000,0.005
"Quad_Slight","Final_Farrington_G10",500,10200,0.0677
"Quad_Slight","giviti_calib",5000,10000,0.0225
"Quad_Slight","giviti_calib_internal",5000,10000,0.3316
"Quad_Slight","traditional_HL",5000,10000,0.1719
"Quad_Slight","large_s_hl",5000,10000,0.1702
"Quad_Slight","hosmer_equal_width",5000,10000,0.1117
"Quad_Slight","pearson",5000,10000,0.5879
"Quad_Slight","deviance",5000,10000,0
"Quad_Slight","hl_ftest",5000,10000,1
"Quad_Slight","osius_rojek",5000,10000,0.2343
"Quad_Slight","s_st_pgeq0_5",5000,10000,0.255
"Quad_Slight","s_st_pl0_5",5000,10000,0.3323
"Quad_Slight","sst_both",5000,10000,0.3868
"Quad_Slight","spiegelhalter",5000,10000,0
"Quad_Slight","Copas_unweighted_S",5000,10000,0.2024
"Quad_Slight","pigeonheyse",5000,10000,0.1284
"Quad_Slight","xie",5000,10000,0.1103
"Quad_Slight","eHL",5000,10000,0.0068
"Quad_Slight","U_p",5000,10000,0
"Quad_Slight","HL_GAM",5000,10000,0.1701
"Quad_Slight","PR_GAM",5000,0,NA
"Quad_Slight","XIE_GAM",5000,10000,0.1709
"Quad_Slight","Farrington_standalone",5000,10000,0
"Quad_Slight","IM_efficient",5000,10000,0.2582
"Quad_Slight","McCullagh_Test",5000,1000,0.345
"Quad_Slight","leCessie_Test",5000,1000,0.278
"Quad_Slight","bagoft_test_NO_SIM_Split_1",5000,10000,0.0594
"Quad_Slight","PR_test",5000,0,NA
"Quad_Slight","bagoft_parallel",5000,1000,0.056
"Quad_Slight","bagoft_test_Split_20",5000,10000,0
"Quad_Slight","stute_zhu_test",5000,10000,0.2666
"Quad_Slight","Tsiatis_clustering",5000,10000,0.1661
"Quad_Slight","hosmer_bootstrap",5000,10000,0.1585
"Quad_Slight","eHL_10",5000,10000,0.0097
"Quad_Slight","Final_Farrington_G10",5000,10000,0.187
"Quad_Pronounced","giviti_calib",1000,10000,1
"Quad_Pronounced","giviti_calib_internal",1000,10000,1
"Quad_Pronounced","traditional_HL",1000,10000,1
"Quad_Pronounced","pearson",1000,10000,1
"Quad_Pronounced","deviance",1000,10000,0
"Quad_Pronounced","osius_rojek",1000,10000,1
"Quad_Pronounced","s_st_pgeq0_5",1000,9948,0.994
"Quad_Pronounced","s_st_pl0_5",1000,10000,1
"Quad_Pronounced","sst_both",1000,9948,1
"Quad_Pronounced","large_s_hl",1000,10000,1
"Quad_Pronounced","spiegelhalter",1000,10000,0.7853
"Quad_Pronounced","Copas_unweighted_S",1000,10000,1
"Quad_Pronounced","pigeonheyse",1000,10000,1
"Quad_Pronounced","xie",1000,10000,1
"Quad_Pronounced","eHL",1000,10000,1
"Quad_Pronounced","U_p",1000,10000,0
"Quad_Pronounced","HL_GAM",1000,10000,1
"Quad_Pronounced","PR_GAM",1000,0,NA
"Quad_Pronounced","XIE_GAM",1000,10000,1
"Quad_Pronounced","Farrington_standalone",1000,10000,0
"Quad_Pronounced","IM_efficient",1000,10000,1
"Quad_Pronounced","McCullagh_Test",1000,10000,1
"Quad_Pronounced","leCessie_Test",1000,10000,1
"Quad_Pronounced","hosmer_equal_width",1000,10000,1
"Quad_Pronounced","bagoft_test_NO_SIM_Split_1",1000,10000,0.9049
"Quad_Pronounced","PR_test",1000,0,NA
"Quad_Pronounced","bagoft_parallel",1000,1000,0.294
"Quad_Pronounced","bagoft_test_Split_20",1000,10000,0.9994
"Quad_Pronounced","stute_zhu_test",1000,10000,1
"Quad_Pronounced","Tsiatis_clustering",1000,10000,1
"Quad_Pronounced","hl_ftest",1000,10000,1
"Quad_Pronounced","hosmer_bootstrap",1000,10000,0.9985
"Quad_Pronounced","eHL_10",1000,10000,1
"Quad_Pronounced","Final_Farrington_G10",1000,10000,1
"Quad_Pronounced","giviti_calib",200,10000,0.9877
"Quad_Pronounced","giviti_calib_internal",200,10000,0.9995
"Quad_Pronounced","traditional_HL",200,10200,0.9986
"Quad_Pronounced","pearson",200,10000,0.9474
"Quad_Pronounced","deviance",200,10000,5e-04
"Quad_Pronounced","hl_ftest",200,10000,0.9984
"Quad_Pronounced","osius_rojek",200,10000,0.9991
"Quad_Pronounced","s_st_pgeq0_5",200,8712,0.796
"Quad_Pronounced","s_st_pl0_5",200,10000,0.9995
"Quad_Pronounced","sst_both",200,8712,0.9997
"Quad_Pronounced","large_s_hl",200,10000,0.9986
"Quad_Pronounced","spiegelhalter",200,10000,0.004
"Quad_Pronounced","Copas_unweighted_S",200,10000,0.9995
"Quad_Pronounced","pigeonheyse",200,10200,0.9978
"Quad_Pronounced","xie",200,10200,0.9978
"Quad_Pronounced","eHL",200,10000,0.9432
"Quad_Pronounced","U_p",200,10000,0
"Quad_Pronounced","HL_GAM",200,10000,0.8003
"Quad_Pronounced","PR_GAM",200,0,NA
