"Scenario","n","Test","Power","Reps"
"Chi2_4",5000,"HL",0.049,2000
"Multi_Indep",200,"EF",0.042,2000
"Multi_Indep",200,"EDGE_poly2",0.0555,2000
"Multi_Indep",200,"EDGE_poly3",0.0545,2000
"Multi_Indep",200,"EDGE_stukel",0.0495,2000
"Multi_Indep",200,"HL",0.045,2000
"Multi_Indep",500,"EF",0.048,2000
"Multi_Indep",500,"EDGE_poly2",0.0345,2000
"Multi_Indep",500,"EDGE_poly3",0.0465,2000
"Multi_Indep",500,"EDGE_stukel",0.046,2000
"Multi_Indep",500,"HL",0.052,2000
"Multi_Indep",1000,"EF",0.039,2000
"Multi_Indep",1000,"EDGE_poly2",0.0495,2000
"Multi_Indep",1000,"EDGE_poly3",0.0505,2000
"Multi_Indep",1000,"EDGE_stukel",0.052,2000
"Multi_Indep",1000,"HL",0.039,2000
"Multi_Indep",2000,"EF",0.052,2000
"Multi_Indep",2000,"EDGE_poly2",0.052,2000
"Multi_Indep",2000,"EDGE_poly3",0.062,2000
"Multi_Indep",2000,"EDGE_stukel",0.0505,2000
"Multi_Indep",2000,"HL",0.051,2000
"Multi_Indep",5000,"EF",0.0475,2000
"Multi_Indep",5000,"EDGE_poly2",0.048,2000
"Multi_Indep",5000,"EDGE_poly3",0.0465,2000
"Multi_Indep",5000,"EDGE_stukel",0.0485,2000
"Multi_Indep",5000,"HL",0.0465,2000
"Quad_Slight",200,"EF",0.0455,2000
"Quad_Slight",200,"EDGE_poly2",0.065,2000
"Quad_Slight",200,"EDGE_poly3",0.0545,2000
"Quad_Slight",200,"EDGE_stukel",0.075,2000
"Quad_Slight",200,"HL",0.076,2000
"Quad_Slight",500,"EF",0.0645,2000
"Quad_Slight",500,"EDGE_poly2",0.0935,2000
"Quad_Slight",500,"EDGE_poly3",0.0765,2000
"Quad_Slight",500,"EDGE_stukel",0.0855,2000
"Quad_Slight",500,"HL",0.086,2000
"Quad_Slight",1000,"EF",0.067,2000
"Quad_Slight",1000,"EDGE_poly2",0.106,2000
"Quad_Slight",1000,"EDGE_poly3",0.0885,2000
"Quad_Slight",1000,"EDGE_stukel",0.102,2000
"Quad_Slight",1000,"HL",0.0805,2000
"Quad_Slight",2000,"EF",0.0805,2000
"Quad_Slight",2000,"EDGE_poly2",0.1605,2000
"Quad_Slight",2000,"EDGE_poly3",0.12,2000
"Quad_Slight",2000,"EDGE_stukel",0.129,2000
"Quad_Slight",2000,"HL",0.0945,2000
"Quad_Slight",5000,"EF",0.1475,2000
"Quad_Slight",5000,"EDGE_poly2",0.3135,2000
"Quad_Slight",5000,"EDGE_poly3",0.2355,2000
"Quad_Slight",5000,"EDGE_stukel",0.234,2000
"Quad_Slight",5000,"HL",0.1725,2000
"Quad_Pronounced",200,"EF",0.9875,2000
"Quad_Pronounced",200,"EDGE_poly2",0.9995,2000
"Quad_Pronounced",200,"EDGE_poly3",0.9995,2000
"Quad_Pronounced",200,"EDGE_stukel",0.9985,2000
"Quad_Pronounced",200,"HL",0.9985,2000
"Quad_Pronounced",500,"EF",1,2000
"Quad_Pronounced",500,"EDGE_poly2",1,2000
"Quad_Pronounced",500,"EDGE_poly3",1,2000
"Quad_Pronounced",500,"EDGE_stukel",1,1999
"Quad_Pronounced",500,"HL",1,2000
"Quad_Pronounced",1000,"EF",1,2000
"Quad_Pronounced",1000,"EDGE_poly2",1,2000
"Quad_Pronounced",1000,"EDGE_poly3",1,2000
"Quad_Pronounced",1000,"EDGE_stukel",1,2000
"Quad_Pronounced",1000,"HL",1,2000
"Quad_Pronounced",2000,"EF",1,2000
"Quad_Pronounced",2000,"EDGE_poly2",1,2000
"Quad_Pronounced",2000,"EDGE_poly3",1,2000
"Quad_Pronounced",2000,"EDGE_stukel",1,2000
"Quad_Pronounced",2000,"HL",1,2000
"Quad_Pronounced",5000,"EF",1,2000
"Quad_Pronounced",5000,"EDGE_poly2",1,2000
"Quad_Pronounced",5000,"EDGE_poly3",1,2000
"Quad_Pronounced",5000,"EDGE_stukel",1,2000
"Quad_Pronounced",5000,"HL",1,2000
"Interact_Slight",200,"EF",0.044,2000
"Interact_Slight",200,"EDGE_poly2",0.07,2000
"Interact_Slight",200,"EDGE_poly3",0.062,2000
"Interact_Slight",200,"EDGE_stukel",0.059,2000
"Interact_Slight",200,"HL",0.0455,2000
"Interact_Slight",500,"EF",0.0575,2000
"Interact_Slight",500,"EDGE_poly2",0.079,2000
"Interact_Slight",500,"EDGE_poly3",0.078,2000
"Interact_Slight",500,"EDGE_stukel",0.078,2000
"Interact_Slight",500,"HL",0.059,2000
"Interact_Slight",1000,"EF",0.055,2000
"Interact_Slight",1000,"EDGE_poly2",0.093,2000
"Interact_Slight",1000,"EDGE_poly3",0.0795,2000
"Interact_Slight",1000,"EDGE_stukel",0.0885,2000
"Interact_Slight",1000,"HL",0.0555,2000
"Interact_Slight",2000,"EF",0.0805,2000
"Interact_Slight",2000,"EDGE_poly2",0.143,2000
"Interact_Slight",2000,"EDGE_poly3",0.1145,2000
"Interact_Slight",2000,"EDGE_stukel",0.137,2000
"Interact_Slight",2000,"HL",0.081,2000
"Interact_Slight",5000,"EF",0.131,2000
"Interact_Slight",5000,"EDGE_poly2",0.2915,2000
"Interact_Slight",5000,"EDGE_poly3",0.2295,2000
"Interact_Slight",5000,"EDGE_stukel",0.281,2000
"Interact_Slight",5000,"HL",0.134,2000
"Interact_Pronounced",200,"EF",0.3365,2000
"Interact_Pronounced",200,"EDGE_poly2",0.631,2000
"Interact_Pronounced",200,"EDGE_poly3",0.6005,2000
"Interact_Pronounced",200,"EDGE_stukel",0.614,2000
"Interact_Pronounced",200,"HL",0.429,2000
"Interact_Pronounced",500,"EF",0.8155,2000
"Interact_Pronounced",500,"EDGE_poly2",0.9635,2000
"Interact_Pronounced",500,"EDGE_poly3",0.957,2000
"Interact_Pronounced",500,"EDGE_stukel",0.948,2000
"Interact_Pronounced",500,"HL",0.8585,2000
"Interact_Pronounced",1000,"EF",0.9915,2000
"Interact_Pronounced",1000,"EDGE_poly2",0.999,2000
"Interact_Pronounced",1000,"EDGE_poly3",0.9995,2000
"Interact_Pronounced",1000,"EDGE_stukel",0.999,2000
"Interact_Pronounced",1000,"HL",0.9925,2000
"Interact_Pronounced",2000,"EF",1,2000
"Interact_Pronounced",2000,"EDGE_poly2",1,2000
"Interact_Pronounced",2000,"EDGE_poly3",1,2000
"Interact_Pronounced",2000,"EDGE_stukel",1,2000
"Interact_Pronounced",2000,"HL",1,2000
"Interact_Pronounced",5000,"EF",1,2000
"Interact_Pronounced",5000,"EDGE_poly2",1,2000
"Interact_Pronounced",5000,"EDGE_poly3",1,2000
"Interact_Pronounced",5000,"EDGE_stukel",1,2000
"Interact_Pronounced",5000,"HL",1,2000
